1,1760,552,64,24,45
1,1793,1231,53,16,42
1,1828,1854,0,20,35
1,1831,1616,683,85,128
1,1838,1526,356,41,85
1,1872,1118,100,24,45
1,1893,1437,86,24,48
1,1898,868,0,9,30
1,1903,1594,24,20,43
1,1905,1800,21,24,39
1,1906,690,132,20,61
1,1911,1177,224,28,66
1,1917,175,68,24,43
1,1936,506,72,24,48
1,1937,558,116,28,50
1,1938,556,221,34,44
1,1939,594,76,20,48
1,1940,1998,110,20,57
1,1941,1458,32,20,40
1,1944,1200,474,59,110
1,1946,1948,138,20,38
1,1951,1432,120,24,54
1,1953,1099,115,24,48
1,1954,1442,4,20,48
1,1955,1433,555,59,113
1,1957,1504,421,59,116
1,1958,2066,72,20,66
1,1960,1206,306,41,93
1,1961,650,25,28,51
1,1962,1202,214,34,79
1,1963,418,92,20,46
1,1968,1478,313,49,87
1,1969,1404,33,16,42
1,1974,1299,54,30,42
1,1976,0,82,24,37
1,1977,3172,171,20,93
1,1978,1341,851,103,170
1,1982,413,358,49,97
1,1986,1608,0,20,62
2,1760,552,64,24,45
2,1793,1230,52,16,42
2,1828,1850,6,20,35
2,1831,1616,683,85,128
2,1838,1526,356,41,84
2,1872,1118,100,23,45
2,1893,1437,86,23,47
2,1898,867,0,9,30
2,1903,1592,16,20,43
2,1905,1800,21,23,39
2,1906,692,120,20,61
2,1911,1183,213,28,66
2,1917,175,68,24,43
2,1936,511,72,24,48
2,1937,558,116,28,50
2,1938,556,220,35,45
2,1939,594,76,20,48
2,1940,1998,115,20,57
2,1941,1456,28,20,40
2,1944,1200,474,59,110
2,1946,2088,0,20,38
2,1951,1430,120,24,54
2,1953,1099,115,24,48
2,1954,1442,0,20,48
2,1955,1433,555,59,113
2,1957,1504,420,59,116
2,1958,2066,72,20,66
2,1960,1206,306,41,93
2,1961,653,25,28,51
2,1962,1206,221,34,79
2,1963,416,96,20,46
2,1968,1478,313,49,87
2,1969,1760,35,20,52
2,1974,1299,53,30,42
2,1976,0,82,24,37
2,1977,3174,171,20,93
2,1978,1310,851,103,170
2,1982,413,358,49,96
2,1986,1608,0,20,62
3,1760,552,64,24,45
3,1793,1230,52,16,42
3,1828,1850,6,20,35
3,1831,1616,683,85,128
3,1838,1526,356,41,84
3,1872,1118,100,23,45
3,1893,1437,86,24,48
3,1898,867,0,9,30
3,1903,1592,16,20,43
3,1905,1804,21,24,39
3,1906,692,120,20,61
3,1911,1183,213,28,66
3,1917,174,68,24,43
3,1936,511,71,24,48
3,1937,558,116,28,50
3,1938,556,217,34,44
3,1939,594,76,20,48
3,1940,1998,115,20,57
3,1941,1456,28,20,40
3,1944,1200,474,59,110
3,1946,2088,0,20,38
3,1951,1432,115,24,54
3,1953,1094,120,24,48
3,1954,1442,0,20,48
3,1955,1433,555,59,113
3,1957,1504,420,59,116
3,1958,2066,72,20,66
3,1960,1202,298,41,93
3,1961,657,32,24,43
3,1962,1209,221,34,79
3,1963,418,96,20,46
3,1968,1477,313,49,87
3,1969,1758,35,20,52
3,1974,1300,53,30,42
3,1976,0,82,24,37
3,1977,3176,180,20,93
3,1978,1310,851,103,170
3,1982,427,350,49,97
3,1986,1616,0,20,62
3,1920,1940,0,20,36
3,1965,486,669,20,32
4,1760,552,64,24,45
4,1793,1230,52,16,42
4,1828,1850,6,20,35
4,1831,1616,683,85,128
4,1838,1530,348,41,85
4,1872,1118,100,24,45
4,1893,1437,85,24,48
4,1898,867,0,9,30
4,1903,1592,20,20,43
4,1905,1804,21,24,39
4,1906,696,120,20,61
4,1911,1183,213,28,66
4,1917,174,68,24,43
4,1936,511,71,24,48
4,1937,558,116,29,51
4,1938,552,214,34,44
4,1939,596,76,20,48
4,1940,1998,115,20,57
4,1941,1452,28,20,40
4,1944,1200,474,59,110
4,1946,2088,3,20,38
4,1951,1430,120,24,54
4,1953,1094,119,24,48
4,1954,1442,0,20,48
4,1955,1448,559,49,94
4,1957,1516,403,59,116
4,1958,2066,72,20,66
4,1960,1202,298,41,93
4,1961,657,32,24,43
4,1962,1209,221,34,79
4,1963,420,92,20,46
4,1968,1463,306,49,87
4,1969,1756,35,20,52
4,1974,1301,53,30,42
4,1976,0,82,24,37
4,1977,3176,171,20,93
4,1978,1324,825,85,141
4,1982,428,350,49,97
4,1986,1614,12,20,62
4,1920,1938,0,20,36
4,1965,486,669,20,32
5,1760,554,61,24,45
5,1793,1230,52,16,42
5,1828,1850,6,20,35
5,1831,1616,696,85,128
5,1838,1530,348,41,84
5,1872,1118,100,23,45
5,1893,1437,85,24,49
5,1898,867,0,9,30
5,1903,1592,20,20,43
5,1905,1804,21,24,39
5,1906,694,126,20,61
5,1911,1183,214,28,65
5,1917,174,78,20,36
5,1936,513,72,24,48
5,1937,557,116,29,51
5,1938,552,221,34,44
5,1939,596,76,20,48
5,1940,1998,115,20,57
5,1941,1452,28,20,40
5,1944,1206,474,59,110
5,1946,2088,3,20,38
5,1951,1432,115,24,54
5,1953,1094,119,24,48
5,1954,1442,0,20,48
5,1955,1448,559,49,94
5,1957,1516,403,59,116
5,1958,2070,66,20,66
5,1960,1206,306,41,93
5,1961,657,32,23,43
5,1962,1209,221,34,79
5,1963,422,96,20,46
5,1968,1463,305,49,86
5,1969,1760,35,20,52
5,1974,1301,53,30,43
5,1976,0,82,24,37
5,1977,3176,171,20,93
5,1978,1324,825,85,141
5,1982,428,350,49,97
5,1986,1612,6,20,62
5,1920,1938,0,20,36
5,1965,486,672,20,32
6,1760,556,57,24,45
6,1793,1230,52,16,42
6,1828,1850,6,20,35
6,1831,1616,709,85,128
6,1838,1530,348,41,84
6,1872,1118,100,23,45
6,1893,1437,85,24,49
6,1898,867,0,9,30
6,1903,1592,20,20,43
6,1905,1804,21,24,39
6,1906,694,126,20,61
6,1911,1183,215,28,65
6,1917,170,72,24,43
6,1936,513,71,24,48
